Variant,Category,Model,Turn,Rate
Baseline + Memory,Flaming,Llama-FT,1,29.05
Baseline + Memory,Flaming,Llama-FT,2,3.43
Baseline + Memory,Flaming,Llama-FT,3,53.61
Baseline + Memory,Flaming,Llama-FT,4,10.01
Baseline + Memory,Flaming,Llama-FT,5,61.77
Baseline + Memory,Flaming,Llama (Non-FT),1,27.77
Baseline + Memory,Flaming,Llama (Non-FT),2,1.09
Baseline + Memory,Flaming,Llama (Non-FT),3,9.42
Baseline + Memory,Flaming,Llama (Non-FT),4,2.04
Baseline + Memory,Flaming,Llama (Non-FT),5,11.36
Baseline + Memory,Threat/Blackmail,Llama-FT,1,0.65
Baseline + Memory,Threat/Blackmail,Llama-FT,2,0.37
Baseline + Memory,Threat/Blackmail,Llama-FT,3,2.69
Baseline + Memory,Threat/Blackmail,Llama-FT,4,1.53
Baseline + Memory,Threat/Blackmail,Llama-FT,5,7.14
Baseline + Memory,Threat/Blackmail,Llama (Non-FT),1,0.86
Baseline + Memory,Threat/Blackmail,Llama (Non-FT),2,0.33
Baseline + Memory,Threat/Blackmail,Llama (Non-FT),3,1.24
Baseline + Memory,Threat/Blackmail,Llama (Non-FT),4,0.43
Baseline + Memory,Threat/Blackmail,Llama (Non-FT),5,2.0
Baseline + Memory,Insult,Llama-FT,1,41.57
Baseline + Memory,Insult,Llama-FT,2,4.12
Baseline + Memory,Insult,Llama-FT,3,67.19
Baseline + Memory,Insult,Llama-FT,4,13.53
Baseline + Memory,Insult,Llama-FT,5,68.35
Baseline + Memory,Insult,Llama (Non-FT),1,41.18
Baseline + Memory,Insult,Llama (Non-FT),2,1.33
Baseline + Memory,Insult,Llama (Non-FT),3,11.55
Baseline + Memory,Insult,Llama (Non-FT),4,2.66
Baseline + Memory,Insult,Llama (Non-FT),5,12.93
Baseline + Memory,Curse/Exclusion,Llama-FT,1,4.63
Baseline + Memory,Curse/Exclusion,Llama-FT,2,1.3
Baseline + Memory,Curse/Exclusion,Llama-FT,3,18.26
Baseline + Memory,Curse/Exclusion,Llama-FT,4,2.41
Baseline + Memory,Curse/Exclusion,Llama-FT,5,22.34
Baseline + Memory,Curse/Exclusion,Llama (Non-FT),1,5.18
Baseline + Memory,Curse/Exclusion,Llama (Non-FT),2,0.1
Baseline + Memory,Curse/Exclusion,Llama (Non-FT),3,0.95
Baseline + Memory,Curse/Exclusion,Llama (Non-FT),4,0.43
Baseline + Memory,Curse/Exclusion,Llama (Non-FT),5,1.47
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama-FT,1,0.14
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama-FT,2,0.09
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama-FT,3,0.6
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama-FT,4,0.09
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama-FT,5,0.51
